elea,relt,eleb
Kitchin 2021b,cites,Herbert 2000
Kitchin 2021b,cites,Crang and Cook 2007
Kitchin 2021b,cites,Knox and Nafus 2018:3
Kitchin 2021b,cites,Pink et al. 2018b
Kitchin 2021b,cites,Meng and DiSalvo 2018
Kitchin 2021b,cites,Coletta and Kitchin 2017
Kitchin 2021b,cites,Tanweer et al. 2016
Kitchin 2021b,cites,Lowrie 2017
Kitchin 2021b,cites,Evans and Kitchin 2018
Kitchin 2021b,cites,Grommé et al. 2018
Kitchin 2021b,cites,Pink and Fors 2017
Kitchin 2021b,cites,Beneito-Montagut et al. 2017
Kitchin 2021b,cites,Lehtiniemi and Ruckenstein 2019
Kitchin 2021b,cites,Fraser 2019a
Kitchin 2021b,cites,Kitchin 2021a
Kitchin 2021b,cites,Kitchin et al. 2016
critical data study,uses,data (auto)ethnography method
critical data study,uses,"interview, focus group and workshop method"
critical data study,uses,data archaeology method
critical data study,uses,historical analysis and genealogy method
critical data study,uses,participatory and action research method
critical data study,uses,data walk method
critical data study,uses,discursive analysis method
critical data study,uses,research-creation and creative practice method
critical data study,uses,critical data science method
Pink et al. 2018b,instantiates,data (auto)ethnography method
Meng and DiSalvo 2018,instantiates,data (auto)ethnography method
Meng and DiSalvo 2018,instantiates,"interview, focus group and workshop method"
Coletta and Kitchin 2017,instantiates,data (auto)ethnography method
Tanweer et al. 2016,instantiates,data (auto)ethnography method
Lowrie 2017,instantiates,data (auto)ethnography method
Evans and Kitchin 2018,instantiates,data (auto)ethnography method
Grommé et al. 2018,instantiates,data (auto)ethnography method
Pink and Fors 2017,instantiates,data (auto)ethnography method
Beneito-Montagut et al. 2017,instantiates,data (auto)ethnography method
Lehtiniemi and Ruckenstein 2019,instantiates,data (auto)ethnography method
Fraser 2019a,instantiates,data (auto)ethnography method
Kitchin 2021a,instantiates,data (auto)ethnography method
Kitchin et al. 2016,instantiates,data (auto)ethnography method
Fraser 2019a URL,embodies,Fraser 2019a
